name;branch;grade;begin date;type of awards
Ren‚ Cogny;arm‚e fran‡aise;g‚n‚ral;1929;Croix de guerre 1939-1945
Sonia Olschanezky ;Special Operation Executive;agent;1940;M‚daille de la R‚sistance fran‡aise
Benjamin Cowburn;Special Operation Executive;agent;1941;Croix de guerre 1939-1945
